,V1/V12_Voltage_0-Vmax
2021-02-18 01:00:00,406.0
2021-02-18 00:59:00,406.0
2021-02-18 00:58:00,406.0
2021-02-18 00:57:00,406.0
2021-02-18 00:56:00,407.0
2021-02-18 00:55:00,407.0
2021-02-18 00:54:00,407.0
2021-02-18 00:53:00,406.0
2021-02-18 00:52:00,405.0
2021-02-18 00:51:00,406.0
2021-02-18 00:50:00,405.0
2021-02-18 00:49:00,405.0
2021-02-18 00:48:00,405.0
2021-02-18 00:47:00,405.0
2021-02-18 00:46:00,406.0
2021-02-18 00:45:00,406.0
2021-02-18 00:44:00,405.0
2021-02-18 00:43:00,406.0
2021-02-18 00:42:00,405.0
2021-02-18 00:41:00,405.0
2021-02-18 00:40:00,405.0
2021-02-18 00:39:00,405.0
2021-02-18 00:38:00,405.0
2021-02-18 00:37:00,405.0
2021-02-18 00:36:00,405.0
2021-02-18 00:35:00,406.0
2021-02-18 00:34:00,405.0
2021-02-18 00:33:00,405.0
2021-02-18 00:32:00,405.0
2021-02-18 00:31:00,405.0
2021-02-18 00:30:00,405.0
2021-02-18 00:29:00,405.0
2021-02-18 00:28:00,405.0
2021-02-18 00:27:00,405.0
2021-02-18 00:26:00,405.0
2021-02-18 00:25:00,405.0
2021-02-18 00:24:00,405.0
2021-02-18 00:23:00,405.0
2021-02-18 00:22:00,405.0
2021-02-18 00:21:00,404.0
2021-02-18 00:20:00,405.0
2021-02-18 00:19:00,404.0
2021-02-18 00:18:00,404.0
2021-02-18 00:17:00,404.0
2021-02-18 00:16:00,404.0
2021-02-18 00:15:00,405.0
2021-02-18 00:14:00,405.0
2021-02-18 00:13:00,405.0
2021-02-18 00:12:00,404.0
2021-02-18 00:11:00,403.0
2021-02-18 00:10:00,404.0
2021-02-18 00:09:00,404.0
2021-02-18 00:08:00,404.0
2021-02-18 00:07:00,403.0
2021-02-18 00:06:00,403.0
2021-02-18 00:05:00,404.0
2021-02-18 00:04:00,404.0
2021-02-18 00:03:00,404.0
2021-02-18 00:02:00,404.0
2021-02-18 00:01:00,404.0
2021-02-18 00:00:00,404.0
