,V1/V12_Voltage_0-Vmax
2021-02-21 14:00:00,405.0
2021-02-21 13:59:00,405.0
2021-02-21 13:58:00,406.0
2021-02-21 13:57:00,406.0
2021-02-21 13:56:00,405.0
2021-02-21 13:55:00,405.0
2021-02-21 13:54:00,405.0
2021-02-21 13:53:00,405.0
2021-02-21 13:52:00,405.0
2021-02-21 13:51:00,405.0
2021-02-21 13:50:00,405.0
2021-02-21 13:49:00,405.0
2021-02-21 13:48:00,405.0
2021-02-21 13:47:00,405.0
2021-02-21 13:46:00,405.0
2021-02-21 13:45:00,406.0
2021-02-21 13:44:00,406.0
2021-02-21 13:43:00,406.0
2021-02-21 13:42:00,406.0
2021-02-21 13:41:00,406.0
2021-02-21 13:40:00,406.0
2021-02-21 13:39:00,406.0
2021-02-21 13:38:00,406.0
2021-02-21 13:37:00,406.0
2021-02-21 13:36:00,406.0
2021-02-21 13:35:00,405.0
2021-02-21 13:34:00,406.0
2021-02-21 13:33:00,406.0
2021-02-21 13:32:00,406.0
2021-02-21 13:31:00,406.0
2021-02-21 13:30:00,406.0
2021-02-21 13:29:00,406.0
2021-02-21 13:28:00,406.0
2021-02-21 13:27:00,406.0
2021-02-21 13:26:00,405.0
2021-02-21 13:25:00,405.0
2021-02-21 13:24:00,405.0
2021-02-21 13:23:00,405.0
2021-02-21 13:22:00,405.0
2021-02-21 13:21:00,405.0
2021-02-21 13:20:00,404.0
2021-02-21 13:19:00,404.0
2021-02-21 13:18:00,405.0
2021-02-21 13:17:00,405.0
2021-02-21 13:16:00,406.0
2021-02-21 13:15:00,406.0
2021-02-21 13:14:00,406.0
2021-02-21 13:13:00,405.0
2021-02-21 13:12:00,405.0
2021-02-21 13:11:00,405.0
2021-02-21 13:10:00,405.0
2021-02-21 13:09:00,405.0
2021-02-21 13:08:00,404.0
2021-02-21 13:07:00,405.0
2021-02-21 13:06:00,405.0
2021-02-21 13:05:00,406.0
2021-02-21 13:04:00,405.0
2021-02-21 13:03:00,405.0
2021-02-21 13:02:00,405.0
2021-02-21 13:01:00,405.0
2021-02-21 13:00:00,405.0
