,V1/V12_Voltage_0-Vmax
2021-02-15 13:00:00,404.0
2021-02-15 12:59:00,403.0
2021-02-15 12:58:00,403.0
2021-02-15 12:57:00,403.0
2021-02-15 12:56:00,401.0
2021-02-15 12:55:00,402.0
2021-02-15 12:54:00,402.0
2021-02-15 12:53:00,402.0
2021-02-15 12:52:00,403.0
2021-02-15 12:51:00,401.0
2021-02-15 12:50:00,402.0
2021-02-15 12:49:00,402.0
2021-02-15 12:48:00,403.0
2021-02-15 12:47:00,403.0
2021-02-15 12:46:00,403.0
2021-02-15 12:45:00,403.0
2021-02-15 12:44:00,403.0
2021-02-15 12:43:00,403.0
2021-02-15 12:42:00,403.0
2021-02-15 12:41:00,404.0
2021-02-15 12:40:00,404.0
2021-02-15 12:39:00,404.0
2021-02-15 12:38:00,403.0
2021-02-15 12:37:00,403.0
2021-02-15 12:36:00,403.0
2021-02-15 12:35:00,404.0
2021-02-15 12:34:00,404.0
2021-02-15 12:33:00,402.0
2021-02-15 12:32:00,402.0
2021-02-15 12:31:00,402.0
2021-02-15 12:30:00,403.0
2021-02-15 12:29:00,402.0
2021-02-15 12:28:00,402.0
2021-02-15 12:27:00,402.0
2021-02-15 12:26:00,401.0
2021-02-15 12:25:00,404.0
2021-02-15 12:24:00,404.0
2021-02-15 12:23:00,403.0
2021-02-15 12:22:00,401.0
2021-02-15 12:21:00,401.0
2021-02-15 12:20:00,402.0
2021-02-15 12:19:00,401.0
2021-02-15 12:18:00,403.0
2021-02-15 12:17:00,403.0
2021-02-15 12:16:00,403.0
2021-02-15 12:15:00,402.0
2021-02-15 12:14:00,402.0
2021-02-15 12:13:00,401.0
2021-02-15 12:12:00,401.0
2021-02-15 12:11:00,401.0
2021-02-15 12:10:00,402.0
2021-02-15 12:09:00,407.0
2021-02-15 12:08:00,405.0
2021-02-15 12:07:00,405.0
2021-02-15 12:06:00,405.0
2021-02-15 12:05:00,404.0
2021-02-15 12:04:00,405.0
2021-02-15 12:03:00,405.0
2021-02-15 12:02:00,405.0
2021-02-15 12:01:00,405.0
2021-02-15 12:00:00,405.0
