,V1/V12_Voltage_0-Vmax
2021-02-23 11:00:00,401.0
2021-02-23 10:59:00,401.0
2021-02-23 10:58:00,401.0
2021-02-23 10:57:00,401.0
2021-02-23 10:56:00,402.0
2021-02-23 10:55:00,402.0
2021-02-23 10:54:00,402.0
2021-02-23 10:53:00,402.0
2021-02-23 10:52:00,401.0
2021-02-23 10:51:00,401.0
2021-02-23 10:50:00,401.0
2021-02-23 10:49:00,401.0
2021-02-23 10:48:00,401.0
2021-02-23 10:47:00,401.0
2021-02-23 10:46:00,401.0
2021-02-23 10:45:00,401.0
2021-02-23 10:44:00,401.0
2021-02-23 10:43:00,401.0
2021-02-23 10:42:00,401.0
2021-02-23 10:41:00,401.0
2021-02-23 10:40:00,401.0
2021-02-23 10:39:00,402.0
2021-02-23 10:38:00,401.0
2021-02-23 10:37:00,401.0
2021-02-23 10:36:00,401.0
2021-02-23 10:35:00,401.0
2021-02-23 10:34:00,401.0
2021-02-23 10:33:00,401.0
2021-02-23 10:32:00,402.0
2021-02-23 10:31:00,402.0
2021-02-23 10:30:00,401.0
2021-02-23 10:29:00,401.0
2021-02-23 10:28:00,401.0
2021-02-23 10:27:00,402.0
2021-02-23 10:26:00,401.0
2021-02-23 10:25:00,402.0
2021-02-23 10:24:00,402.0
2021-02-23 10:23:00,401.0
2021-02-23 10:22:00,401.0
2021-02-23 10:21:00,401.0
2021-02-23 10:20:00,402.0
2021-02-23 10:19:00,401.0
2021-02-23 10:18:00,401.0
2021-02-23 10:17:00,401.0
2021-02-23 10:16:00,401.0
2021-02-23 10:15:00,401.0
2021-02-23 10:14:00,401.0
2021-02-23 10:13:00,401.0
2021-02-23 10:12:00,401.0
2021-02-23 10:11:00,401.0
2021-02-23 10:10:00,401.0
2021-02-23 10:09:00,402.0
2021-02-23 10:08:00,402.0
2021-02-23 10:07:00,401.0
2021-02-23 10:06:00,401.0
2021-02-23 10:05:00,401.0
2021-02-23 10:04:00,401.0
2021-02-23 10:03:00,401.0
2021-02-23 10:02:00,402.0
2021-02-23 10:01:00,402.0
2021-02-23 10:00:00,402.0
