,V1/V12_Voltage_0-Vmax
2021-02-17 19:00:00,404.0
2021-02-17 18:59:00,403.0
2021-02-17 18:58:00,404.0
2021-02-17 18:57:00,405.0
2021-02-17 18:56:00,404.0
2021-02-17 18:55:00,405.0
2021-02-17 18:54:00,405.0
2021-02-17 18:53:00,405.0
2021-02-17 18:52:00,405.0
2021-02-17 18:51:00,405.0
2021-02-17 18:50:00,405.0
2021-02-17 18:49:00,405.0
2021-02-17 18:48:00,404.0
2021-02-17 18:47:00,404.0
2021-02-17 18:46:00,405.0
2021-02-17 18:45:00,404.0
2021-02-17 18:44:00,404.0
2021-02-17 18:43:00,404.0
2021-02-17 18:42:00,404.0
2021-02-17 18:41:00,404.0
2021-02-17 18:40:00,404.0
2021-02-17 18:39:00,404.0
2021-02-17 18:38:00,404.0
2021-02-17 18:37:00,404.0
2021-02-17 18:36:00,404.0
2021-02-17 18:35:00,404.0
2021-02-17 18:34:00,404.0
2021-02-17 18:33:00,405.0
2021-02-17 18:32:00,404.0
2021-02-17 18:31:00,404.0
2021-02-17 18:30:00,404.0
2021-02-17 18:29:00,405.0
2021-02-17 18:28:00,405.0
2021-02-17 18:27:00,405.0
2021-02-17 18:26:00,405.0
2021-02-17 18:25:00,405.0
2021-02-17 18:24:00,405.0
2021-02-17 18:23:00,405.0
2021-02-17 18:22:00,405.0
2021-02-17 18:21:00,405.0
2021-02-17 18:20:00,405.0
2021-02-17 18:19:00,405.0
2021-02-17 18:18:00,405.0
2021-02-17 18:17:00,405.0
2021-02-17 18:16:00,404.0
2021-02-17 18:15:00,405.0
2021-02-17 18:14:00,404.0
2021-02-17 18:13:00,404.0
2021-02-17 18:12:00,405.0
2021-02-17 18:11:00,405.0
2021-02-17 18:10:00,404.0
2021-02-17 18:09:00,405.0
2021-02-17 18:08:00,404.0
2021-02-17 18:07:00,404.0
2021-02-17 18:06:00,404.0
2021-02-17 18:05:00,404.0
2021-02-17 18:04:00,404.0
2021-02-17 18:03:00,404.0
2021-02-17 18:02:00,405.0
2021-02-17 18:01:00,404.0
2021-02-17 18:00:00,404.0
