,V1/V12_Voltage_0-Vmax
2021-02-22 12:00:00,403.0
2021-02-22 11:59:00,403.0
2021-02-22 11:58:00,403.0
2021-02-22 11:57:00,403.0
2021-02-22 11:56:00,403.0
2021-02-22 11:55:00,403.0
2021-02-22 11:54:00,402.0
2021-02-22 11:53:00,403.0
2021-02-22 11:52:00,402.0
2021-02-22 11:51:00,403.0
2021-02-22 11:50:00,403.0
2021-02-22 11:49:00,403.0
2021-02-22 11:48:00,403.0
2021-02-22 11:47:00,403.0
2021-02-22 11:46:00,403.0
2021-02-22 11:45:00,404.0
2021-02-22 11:44:00,404.0
2021-02-22 11:43:00,403.0
2021-02-22 11:42:00,403.0
2021-02-22 11:41:00,402.0
2021-02-22 11:40:00,403.0
2021-02-22 11:39:00,403.0
2021-02-22 11:38:00,404.0
2021-02-22 11:37:00,404.0
2021-02-22 11:36:00,403.0
2021-02-22 11:35:00,404.0
2021-02-22 11:34:00,403.0
2021-02-22 11:33:00,403.0
2021-02-22 11:32:00,402.0
2021-02-22 11:31:00,402.0
2021-02-22 11:30:00,402.0
2021-02-22 11:29:00,403.0
2021-02-22 11:28:00,403.0
2021-02-22 11:27:00,403.0
2021-02-22 11:26:00,403.0
2021-02-22 11:25:00,403.0
2021-02-22 11:24:00,403.0
2021-02-22 11:23:00,403.0
2021-02-22 11:22:00,402.0
2021-02-22 11:21:00,402.0
2021-02-22 11:20:00,402.0
2021-02-22 11:19:00,402.0
2021-02-22 11:18:00,402.0
2021-02-22 11:17:00,402.0
2021-02-22 11:16:00,403.0
2021-02-22 11:15:00,403.0
2021-02-22 11:14:00,403.0
2021-02-22 11:13:00,403.0
2021-02-22 11:12:00,403.0
2021-02-22 11:11:00,403.0
2021-02-22 11:10:00,403.0
2021-02-22 11:09:00,403.0
2021-02-22 11:08:00,402.0
2021-02-22 11:07:00,403.0
2021-02-22 11:06:00,403.0
2021-02-22 11:05:00,403.0
2021-02-22 11:04:00,402.0
2021-02-22 11:03:00,403.0
2021-02-22 11:02:00,402.0
2021-02-22 11:01:00,403.0
2021-02-22 11:00:00,403.0
